"X" "Pressure" "Temperature" "Density" "Velocity" "H2" "H" "O" "O2" "OH" "H2O" "HO2" "CH" "CH2" "CH3" "CH4" "CO" "CO2" "HCO" "CH2O" "CH3O" "C2H2" "C2H3" "C2H4" "HCCO" "CH2CO" "CH3CO" "N2" 
0.0 591578.0940465282 1695.4254974760954 1.2418138898382787 1659.5918429338751 0.0 0.0 0.0 0.4268479223657391 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.09979616737753146 0.0 0.0 0.0 0.4733559102567295
9.999999356774471e-09 591578.0940894813 1695.4254968151229 1.2418138903870528 1659.591843057509 1.7088682358882316e-15 6.986402112633507e-13 5.943532475081015e-14 0.4268479222775286 1.1185564431031244e-14 1.574363385698491e-17 9.077011679876727e-11 3.356423993417333e-20 2.9488898886704394e-17 8.070248127922474e-17 4.0027134238163465e-20 5.763103243460711e-14 5.091332919744241e-18 3.197829360431598e-14 7.102608549091706e-14 0.0 7.234745830799995e-14 9.271029870892687e-11 0.09979616728111543 6.308444500130013e-15 1.3564116200274745e-13 6.192790655803831e-17 0.4733559102567295
1.999999870913245e-08 591578.0941324087 1695.425496154127 1.2418138909354992 1659.5918431810692 5.13312499401892e-15 1.4039437827170399e-12 1.7660257872381313e-13 0.42684792218909984 3.3606465241006764e-14 6.321332671485045e-17 1.8154812017817701e-10 1.0201705665156098e-19 1.1625412493810458e-16 3.2392778963027344e-16 1.2236694532752427e-19 1.7303832236519936e-13 2.0765857785260722e-17 9.572129863284387e-14 2.1296577238852624e-13 0.0 2.168648656466644e-13 1.8519239066958245e-10 0.09979616718468605 1.890514379362391e-14 4.06590675126969e-13 2.331785954952633e-16 0.4733559102567295
2.0166855045374468e-07 591578.0949080056 1695.425484143828 1.2418139008446252 1659.591845413506 3.5990612689842445e-13 1.5279819939880475e-11 1.155111790955896e-11 0.42684792054669946 2.3661873053977163e-12 3.107307808411991e-14 1.8324150910914257e-09 8.753267715468382e-18 5.035461102319667e-14 1.664681775747357e-13 1.9801738298692754e-17 1.2033817989295544e-11 1.1881425736462083e-14 6.195769961534343e-12 1.4329754034193621e-11 2.8436220351856824e-18 1.4492426067126273e-11 1.8287093990677228e-09 0.09979616543010497 1.2559430972985087e-12 2.717122902093373e-11 4.584263832520641e-14 0.4733559102567295
3.8333710075673024e-07 591578.0956750318 1695.4254721325801 1.2418139106442512 1659.5918476212735 1.3182319560081285e-12 3.1209708598563434e-11 4.0871326138873065e-11 0.42684791883263723 8.684929684848252e-12 1.7402338510441051e-13 3.4874991997694813e-09 3.5074486349936636e-17 2.7162623463074156e-13 9.135681834817192e-13 1.182853278793607e-16 4.384460099088746e-11 6.941818602377062e-14 2.1616436378633136e-11 5.120520450437908e-11 2.1266489734024208e-17 5.156420186379456e-11 3.401119271001314e-09 0.0997961636689068 4.4520433755107986e-12 9.667550860562044e-11 2.370446068655287e-13 0.4733559102567295
5.650056496342014e-07 591578.0964333878 1695.4254601268024 1.2418139203331062 1659.591849804085 2.915821034669029e-12 4.905519475550785e-11 8.707552955574682e-11 0.4268479170473253 1.9247472033571884e-11 5.35827100967254e-13 5.1482821147737375e-09 8.383286213660124e-17 8.019567860585098e-13 2.743299947576757e-12 4.1914937914384594e-16 9.639196239027696e-11 2.2338955972572038e-13 4.53030279124715e-11 1.1022351740419951e-10 8.356826032730962e-17 1.1045252620252964e-10 4.9064640418758945e-09 0.0997961618989643 9.495783425918808e-12 2.070826869084844e-10 6.862305237936226e-13 0.4733559102567295
9.832398548108184e-07 591578.098145849 1695.4254325379152 1.2418139422117318 1659.591854733142 9.187576842406343e-12 9.678581036945905e-11 2.527094801368125e-10 0.4268479126687442 6.080221957146906e-11 2.7886065784517857e-12 8.999649445717904e-09 2.9396628219249916e-16 3.7640448790322056e-12 1.3355777322812047e-11 3.0551009413994157e-15 2.993056834013523e-10 1.2758134258869108e-12 1.268991998122981e-10 3.2743603632893124e-10 6.478757029227733e-16 3.24417889253359e-10 8.135912243514757e-09 0.09979615778108168 2.7614842475646526e-11 6.08237025715661e-10 3.2989507132047924e-12 0.4733559102567295
1.08779840496249e-06 591578.0985665643 1695.4254256585248 1.2418139475868453 1659.5918559441068 1.1359516248991152e-11 1.100161244344251e-10 3.058608964403415e-10 0.4268479115161919 7.5204960520969e-11 3.805891497470921e-12 9.970044651957714e-09 3.7035843851320294e-16 5.0149305026715884e-12 1.807130246122024e-11 4.4358380350532705e-15 3.688387166076919e-10 1.774630138206433e-12 1.5218429151800414e-10 3.987900163740652e-10 9.430095406313518e-16 3.939106737653486e-10 8.896301934642767e-09 0.09979615673984904 3.343975862145798e-11 7.385260589698285e-10 4.0795330592517985e-12 0.4733559102567295
1.192356954663096e-06 591578.0989842754 1695.425418787641 1.2418139529235757 1659.591857146424 1.3782380039809499e-11 1.2372953573929225e-10 3.634241360109031e-10 0.42684791034066744 9.126550835969123e-11 5.0519193310687836e-12 1.0943755958385761e-08 4.559314674966074e-16 6.49330499601516e-12 2.392505015990695e-11 6.239744094188419e-15 4.463571305823786e-10 2.3996609922043168e-12 1.7923452109049137e-10 4.768035320874185e-10 1.3241256825207696e-15 4.695410476994686e-10 9.639005154922062e-09 0.09979615569332635 3.9752813371553744e-11 8.803222985441084e-10 4.424817393471183e-12 0.4733559102567295
1.2969155039159692e-06 591578.0993989876 1695.4254119267086 1.2418139582219931 1659.5918583401096 1.6461400760862313e-11 1.3790585522218124e-10 4.252391775909377e-10 0.42684790914227294 1.0901344834187528e-10 6.552754864233661e-12 1.1920954242883308e-08 5.507557236703192e-16 8.212587211863541e-12 3.075352117927476e-11 8.577474122472102e-15 5.314940015779036e-10 3.1683712133376775e-12 2.0793841205234207e-10 5.613863262990118e-10 1.8148355445913587e-15 5.511615273216e-10 1.0364639914452266e-08 0.09979615464118556 4.653722667432316e-11 1.0333491053189052e-09 5.033280275436916e-12 0.4733559102567295
1.4014740527243544e-06 591578.0998106875 1695.425405076697 1.2418139634819245 1659.5918595251246 1.9401420778778686e-11 1.525264112231408e-10 4.911572597872264e-10 0.4268479079211065 1.2847472705828505e-10 8.334257857909904e-12 1.2901793473207369e-08 6.547749384139913e-16 1.0184301995713973e-11 3.860329327917217e-11 1.1542178424120285e-14 6.242745898985832e-10 4.098260658031419e-12 2.3819678161389844e-10 6.524548341880936e-10 2.432051290252656e-15 6.386350586883354e-10 1.1073782215616514e-08 0.09979615358312034 5.3777400707956246e-11 1.197349508740276e-09 5.985308732825199e-12 0.4733559102567295
1.481366711305309e-06 591578.1001232165 1695.4253998503953 1.241813967474837 1659.5918604246917 2.1826847880767453e-11 1.6398548490655187e-10 5.441956367753062e-10 0.4268479069727366 1.4451541653147985e-10 9.901959978425441e-12 1.3653796369013095e-08 7.403822674109662e-16 1.1867778280033928e-11 4.542444303449475e-11 1.4283724040887136e-14 7.005290904182147e-10 4.929291827596856e-12 2.6230456422791973e-10 7.263580289153053e-10 2.997161264801378e-15 7.093307663852928e-10 1.1604885971786112e-08 0.09979615277046965 5.960682996064812e-11 1.3298939033456807e-09 6.693907832164988e-12 0.4733559102567295
1.5612593696301075e-06 591578.1004339638 1695.4253946312251 1.241813971444986 1659.5918613191307 2.4409377011377965e-11 1.7568573858975062e-10 5.994837049350409e-10 0.4268479060111725 1.61580062709017e-10 1.1660775544937684e-11 1.4408069254752304e-08 8.312387690651496e-16 1.3708713374271338e-11 5.298681096893378e-11 1.748523466340009e-14 7.814511579340362e-10 5.873202518080563e-12 2.872287172661488e-10 8.039663646405403e-10 3.6512848421737744e-15 7.833094223852196e-10 1.2126927114957743e-08 0.09979615195405814 6.568706264246659e-11 1.468593372973313e-09 7.397128209925594e-12 0.4733559102567295
1.6411520277002193e-06 591578.1007429241 1695.425389419592 1.2418139753923036 1659.5918622084255 2.715095942978587e-11 1.8761966038570784e-10 6.56960886929985e-10 0.4268479050364573 1.7967785003759547e-10 1.362269626474206e-11 1.5164670114600942e-08 9.272817816817556e-16 1.5710888523697253e-11 6.13012383669394e-11 2.1196153792688145e-14 8.670326168702368e-10 6.938331236338021e-12 3.129330655174708e-10 8.852461497168892e-10 4.402809458148381e-15 8.605152577924558e-10 1.2640141538354835e-08 0.09979615113375984 7.201174870225264e-11 1.613343348857503e-09 8.15057169194728e-12 0.4733559102567295
1.7773771536303318e-06 591578.1012655894 1695.4253805517258 1.2418139820699423 1659.5918637128373 3.219830170382226e-11 2.08484600275807e-10 7.598315881338219e-10 0.42684790334427203 2.1294506556032058e-10 1.7474242386978195e-11 1.646029040589394e-08 1.102783397189387e-15 1.9507005299706812e-11 7.730685403250112e-11 2.8853684188435915e-14 1.0237903033702884e-09 9.0605249750283e-12 3.58456235017318e-10 1.0322026608781462e-09 5.933504776348133e-15 9.994338819227371e-10 1.3495579717572672e-08 0.09979614972572294 8.334063546253297e-11 1.873796048449799e-09 9.541654703295037e-12 0.4733559102567295
1.9136022788315985e-06 591578.1017830018 1695.4253717085755 1.2418139886804718 1659.5918652021298 3.772253828157324e-11 2.2997325785198447e-10 8.686149742069881e-10 0.42684790161418446 2.492783311644928e-10 2.2012251765673295e-11 1.7763094667049003e-08 1.2927801032964934e-15 2.3796330002053443e-11 9.574055570980946e-11 3.8392348098243564e-14 1.1943215452834188e-09 1.160238157666667e-11 4.059928984349943e-10 1.1895835470471969e-09 7.809686618444988e-15 1.1473193150216941e-09 1.4327121018403361e-08 0.0997961483054401 9.533287633500215e-11 2.1510602609318592e-09 1.1031773319596476e-11 0.4733559102567295
2.0498274033114056e-06 591578.1022951258 1695.4253628918245 1.2418139952234353 1659.5918666762004 4.3732265611057566e-11 2.5205260250995066e-10 9.83040884120576e-10 0.426847899846399 2.8871110925030725e-10 2.7298089142517785e-11 1.907332228391998e-08 1.4968690945172627e-15 2.8591241067527478e-11 1.1674433948297642e-10 5.008242323878282e-14 1.3787515915584706e-09 1.460705981156567e-11 4.553987805954941e-10 1.3572402791266947e-09 1.0071400469460003e-14 1.303923105313589e-09 1.513582481099436e-08 0.09979614687234234 1.0796015827389184e-10 2.444670179168488e-09 1.2598807422993578e-11 0.4733559102567295
2.5190427330068748e-06 591578.104018147 1695.425332746391 1.24181401723698 1659.591871635653 6.82506582693941e-11 3.3223146554961433e-10 1.4171099673078792e-09 0.4268478934714162 4.485835779345632e-10 5.204773382884498e-11 2.3645828161968615e-08 2.3020859123459775e-15 4.9083166761080266e-11 2.1042902954645417e-10 1.1071437303630074e-13 2.1217229120391838e-09 2.907475167417021e-11 6.382820379959665e-10 2.0116029450450397e-09 2.134488031631118e-14 1.9070773720742717e-09 1.7759350459301822e-08 0.09979614183115516 1.5597390593422684e-10 3.575499164759068e-09 1.8417518968576276e-11 0.4733559102567295
2.6363465641440943e-06 591578.1044388618 1695.425325269864 1.2418140226120884 1659.5918728466163 7.533288943225096e-11 3.531692122950998e-10 1.5344148394813225e-09 0.42684789180909943 4.944627629998269e-10 6.004512638634859e-11 2.4804113019869148e-08 2.5266005271454524e-15 5.519704237641526e-11 2.3943235939215557e-10 1.3189030156739278e-13 2.3338402700330964e-09 3.384739668014957e-11 6.866490688583888e-10 2.1933324692913452e-09 2.5154327107017835e-14 2.072491403167138e-09 1.8379495809231555e-08 0.0997961405435389 1.689793243762641e-10 3.885627118772427e-09 2.0042543844195608e-11 0.4733559102567295
2.753650394775949e-06 591578.1048555225 1695.4253178190845 1.2418140279354006 1659.5918740459103 8.280393794910266e-11 3.7443452126090686e-10 1.6549829157802442e-09 0.4268478901195641 5.427181402050005e-10 6.884413799577867e-11 2.596864757984781e-08 2.759846558080845e-15 6.170843249965432e-11 2.707423067441926e-10 1.558976804710623e-13 2.5564928207256714e-09 3.913643748276623e-11 7.359724409503627e-10 2.3821834410851416e-09 2.941118821124884e-14 2.243524841407772e-09 1.8986353803624208e-08 0.09979613924444444 1.8235915205048193e-10 4.206290650825136e-09 2.1878410677081543e-11 0.4733559102567295
2.870954224907418e-06 591578.1052680985 1695.425310394813 1.2418140332065257 1659.591875233447 9.066793696580111e-11 3.9601160848823494e-10 1.7786800577112408e-09 0.4268478884029201 5.933557035175994e-10 7.848637485102993e-11 2.713953299259843e-08 3.0015595071183857e-15 6.86179550980064e-11 3.0450772041131995e-10 1.829531741095852e-13 2.7898785734864086e-09 4.497069152528059e-11 7.861960059586296e-10 2.578084449704837e-09 3.4138919069141316e-14 2.4200547870649016e-09 1.9580461114191313e-08 0.09979613793357826 1.9609933600213072e-10 4.5372593845618744e-09 2.3687418801329784e-11 0.4733559102567295
2.98825805454344e-06 591578.105676566 1695.4253029978813 1.2418140384251595 1659.591876409158 9.892872131761525e-11 4.178858551026032e-10 1.9053811622574153e-09 0.42684788665927104 6.463790739883187e-10 8.901272805750306e-11 2.8316860952350727e-08 3.2514774797327053e-15 7.592531293035107e-11 3.4080446628673356e-10 2.1328470676049238e-13 3.034063517160646e-09 5.137821792397421e-11 8.372697239759102e-10 2.780969339174009e-09 3.936227023455251e-14 2.601966728282641e-09 2.0162320351301014e-08 0.09979613661066428 2.1018676912343056e-10 4.878318633250027e-09 2.5427800885887617e-11 0.4733559102567295
3.0683040266888782e-06 591578.105952929 1695.4252979665696 1.241814041956009 1659.5918772046264 1.0479547225742166e-10 4.329754580610748e-10 1.9934989643905077e-09 0.42684788545398994 6.839317998452616e-10 9.672531868781621e-11 2.9123992630415253e-08 3.426587565893313e-15 8.113955392202378e-11 3.6702693837914547e-10 2.3599308027429427e-13 3.206852363705312e-09 5.6094746374738754e-11 8.725843326015433e-10 2.9233888922745147e-09 4.322552159856701e-14 2.7291299561818984e-09 2.0552601862384805e-08 0.09979613570087213 2.1999228815112433e-10 5.116731763034052e-09 2.666353037558758e-11 0.4733559102567295
3.1483499986075165e-06 591578.1062273635 1695.4252929487047 1.2418140454622213 1659.5918779945443 1.1084981029078803e-10 4.4819267811851176e-10 2.082922761624256e-09 0.4268478842362114 7.225964760697111e-10 1.0488168549589991e-10 2.993419036159464e-08 3.605319056840118e-15 8.653807045535851e-11 3.9444829569459263e-10 2.604156208337106e-13 3.384650656260995e-09 6.110004319527354e-11 9.082593306275231e-10 3.069011755925941e-09 4.733978586811086e-14 2.8587144416370176e-09 2.093755464133189e-08 0.09979613478526328 2.2994978059918582e-10 5.359684410123114e-09 2.7939334515238592e-11 0.4733559102567295
3.2283959703009456e-06 591578.1064998616 1695.4252879445203 1.241814048943694 1659.5918787788885 1.1709282467294408e-10 4.635333778509144e-10 2.1736166113425164e-09 0.4268478830059655 7.623729397909174e-10 1.134948444126112e-10 3.074747926250947e-08 3.7875940499119234e-15 9.212025096296535e-11 4.230952345834869e-10 2.8662867973937055e-13 3.567485947569755e-09 6.640288094035669e-11 9.44281411422945e-10 3.2178191850853505e-09 5.171251693250873e-14 2.9906873516589543e-09 2.1317324346462534e-08 0.09979613386375699 2.4005548047917583e-10 5.6071150217554685e-09 2.922898040841075e-11 0.4733559102567295
3.424555350358888e-06 591578.1071594023 1695.4252757410156 1.2418140573700729 1659.5918806772754 1.331971149424254e-10 5.016205357461473e-10 2.4009891603406784e-09 0.4268478799386422 8.645439107573485e-10 1.3662829242374937e-10 3.2753752713636756e-08 4.248706544625487e-15 1.0657044201034362e-10 4.986036491077464e-10 3.5901416063723907e-13 4.036912671522747e-09 8.07192524690942e-11 1.0339344493004016e-09 3.5958190170897163e-09 6.357635427273113e-14 3.3239680341355595e-09 2.2227085888250757e-08 0.09979613158002747 2.654207575888889e-10 6.231969362609093e-09 3.243882326559449e-11 0.4733559102567295
3.620714729097664e-06 591578.1078071677 1695.4252636248139 1.241814065646009 1659.5918825417689 1.5045536748537597e-10 5.403701158045099e-10 2.6352943009678427e-09 0.426847876797029 9.733716899765163e-10 1.6277416138185657e-10 3.477906155804195e-08 4.729571365488249e-15 1.2210500291872472e-10 5.818074277423729e-10 4.4381357582086023e-13 4.536779842293484e-09 9.700120812909433e-11 1.125426495320219e-09 3.9925847901467426e-09 7.714812578477677e-14 3.670958648066843e-09 2.3108553626287772e-08 0.09979612925930102 2.9160329335748814e-10 6.882527912318451e-09 3.5739430381272416e-11 0.4733559102567295
