"X" "Pressure" "Temperature" "Density" "Velocity" "H2" "H" "O" "O2" "OH" "H2O" "HO2" "CH" "CH2" "CH2(S)" "CH3" "CH4" "CO" "CO2" "HCO" "CH2O" "CH3O" "C2H2" "C2H3" "C2H4" "HCCO" "CH2CO" "CH3CO" "N2" 
0.0 591578.0954144347 1695.4255002950288 1.241813890645001 1659.591844993403 0.0 0.0 0.0 0.4268479223657391 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.09979616737753146 0.0 0.0 0.0 0.4733559102567295
9.999999356774473e-09 591578.0954573877 1695.425499634049 1.241813891193775 1659.5918451170369 1.7088683174387956e-15 6.986402456689473e-13 5.943532701400039e-14 0.4268479222775286 1.1185564990968444e-14 1.5743634740324918e-17 9.077011950219722e-11 3.356424252068937e-20 2.948802292999401e-17 0.0 8.070531422821856e-17 4.002715957431308e-20 5.763103429284148e-14 5.091333100064379e-18 3.19782946412786e-14 7.102608776847373e-14 0.0 7.234746181329238e-14 9.271030183716858e-11 0.09979616728111543 6.308444719486882e-15 1.356411667235143e-13 6.192790904470952e-17 0.4733559102567295
1.9999998709132453e-08 591578.0955003152 1695.4254989730628 1.2418138917422215 1659.591845240597 5.1331252327685404e-15 1.4039438515688215e-12 1.7660258537603703e-13 0.42684792218909984 3.360646684371044e-14 6.321331503111915e-17 1.8154812558534762e-10 1.0201706448014869e-19 1.1617878593655965e-16 8.334877464494749e-20 3.2393643412481715e-16 1.2236704448155323e-19 1.7303832779460378e-13 2.0765584031031728e-17 9.572130173698135e-14 2.1296577914112402e-13 0.0 2.1686487615339293e-13 1.8519239691783767e-10 0.09979616718468605 1.8905144450838045e-14 4.065906892766429e-13 2.331786047570006e-16 0.4733559102567295
2.0166852972866358e-07 591578.0962759121 1695.4254869627594 1.2418139016513474 1659.5918474730338 3.5990597963296457e-13 1.527981877454929e-11 1.1551115416038597e-11 0.42684792054669957 2.3661857826758532e-12 3.107284178943646e-14 1.8324149571072543e-09 8.75326623310829e-18 4.996003773041314e-14 3.9655168973753833e-16 1.664703940814553e-13 1.9801798289117106e-17 1.2033813653536508e-11 1.1877351156632221e-14 6.1957689337853275e-12 1.4329750451985371e-11 2.843637423233382e-18 1.4492423842850311e-11 1.8287092801373694e-09 0.09979616543010511 1.2559428873057447e-12 2.717122447991459e-11 4.584263220170405e-14 0.4733559102567295
3.83337059306568e-07 591578.0970429386 1695.4254749515014 1.241813911450977 1659.5918496808022 1.318229515194764e-12 3.120970211598068e-11 4.087130448484601e-11 0.4268479188326376 8.68490016804955e-12 1.740175074224097e-13 3.487498925419503e-09 3.50744738312268e-17 2.6920253436566994e-13 2.460065943973036e-15 9.136105674508114e-13 1.1828802286434375e-16 4.384453845990734e-11 6.931855542202401e-14 2.1616432513485223e-11 5.120516772514638e-11 2.1267184519208544e-17 5.156419384328695e-11 3.401119104539019e-09 0.09979616366890699 4.4520426183423e-12 9.667549224893183e-11 2.370444705680637e-13 0.4733559102567295
5.650055874589569e-07 591578.0978012957 1695.4254629457162 1.2418139211398462 1659.591851863617 2.9158077714602407e-12 4.905516780661881e-11 8.707543149082204e-11 0.4268479170473266 1.924730818491499e-11 5.357928279919796e-13 5.148281698615606e-09 8.383279688301824e-17 7.938157365004252e-13 8.340732724065128e-15 2.7435360020211217e-12 4.191702960700199e-16 9.639163346434687e-11 2.228191790519268e-13 4.5303019219460845e-11 1.1022334039655165e-10 8.357348546446077e-17 1.1045251128734581e-10 4.906464101438937e-09 0.09979616189896429 9.495781991272043e-12 2.0708265611842482e-10 6.862297756288405e-13 0.4733559102567295
9.833148654370258e-07 591578.0995140709 1695.425435351726 1.2418139430224842 1659.591856793578 9.18889821562365e-12 9.679489964197003e-11 2.5274522734422857e-10 0.42684791266793565 6.081014138817256e-11 2.7888560329245385e-12 9.000344503569432e-09 2.9401584449616376e-16 3.716262030715345e-12 5.073125956640578e-14 1.336123448283916e-11 3.056404744238002e-15 2.9934899218305816e-10 1.2697815282260284e-12 1.2691683863124713e-10 3.2748318060320987e-10 6.48162901922214e-16 3.244657113937108e-10 8.136468370614216e-09 0.09979615778033174 2.761886240735463e-11 6.083266770009211e-10 3.2999083845997813e-12 0.4733559102567295
1.0878921837886448e-06 591578.099934865 1695.4254284710346 1.2418139483986055 1659.5918580047696 1.1361353177385859e-11 1.1002785950025167e-10 3.0590933339250007e-10 0.4268479115151632 7.521587201893795e-11 3.806284489426768e-12 9.970916558863906e-09 3.7042888996775895e-16 4.9479141641251026e-12 7.147054265097155e-14 1.80797060436323e-11 4.437969638223789e-15 3.6889887064978095e-10 1.7654883841089111e-12 1.522079091839062e-10 3.988544857599014e-10 9.434769516479133e-16 3.9397601668996375e-10 8.896982334915973e-09 0.09979615673890557 3.344522712474221e-11 7.386485574418163e-10 4.080717848605696e-12 0.4733559102567295
1.192469501689032e-06 591578.1003526556 1695.4254215988194 1.2418139537363528 1659.591859207316 1.3784800331877754e-11 1.2374403053567683e-10 3.634865510908994e-10 0.42684791033941233 9.127970908757692e-11 5.052479526389162e-12 1.0944806052005417e-08 4.560256989021756e-16 6.401913286794462e-12 9.781393002424671e-14 2.393746154046191e-11 6.243064295158073e-15 4.464366523724376e-10 2.386326854343115e-12 1.792646505898286e-10 4.768873364958697e-10 1.3248477414001291e-15 4.696260100598639e-10 9.639804762506736e-09 0.09979615569218633 3.975989301548187e-11 8.804815788094008e-10 4.425775154413082e-12 0.4733559102567295
1.2970468191415194e-06 591578.1007674485 1695.4254147365352 1.2418139590358013 1659.5918604012338 1.6464466075097043e-11 1.3792319892669703e-10 4.2531672456245023e-10 0.4268479091407858 1.0903114355529228e-10 6.553495480843853e-12 1.192218394233456e-08 5.508765848808782e-16 8.091839706464877e-12 1.297342623619107e-13 3.077096391781853e-11 8.582450581079923e-15 5.315948073561267e-10 3.1493878978164647e-12 2.0797553305916605e-10 5.614913267059755e-10 1.8159094025063658e-15 5.512681384031607e-10 1.0365554235939365e-08 0.09979615463984555 4.6546071988410674e-11 1.033548971811594e-09 5.034231603060805e-12 0.4733559102567295
1.4016241361493515e-06 591578.1011792305 1695.4254078851416 1.2418139642967823 1659.5918615864855 1.9405188122542105e-11 1.5254667381817716e-10 4.912509805891383e-10 0.42684790791938226 1.2849605234607747e-10 8.33518341737523e-12 1.2903204268872686e-08 6.549250908790197e-16 1.0028843647862715e-11 1.6769967554203132e-13 3.8626897545684845e-11 1.154939970505174e-14 6.243983764939846e-10 4.0718924058482345e-12 2.382413270658916e-10 6.525827759363001e-10 2.433597616678044e-15 6.387652885052471e-10 1.1074807224355959e-08 0.0997961535815765 5.3788159193411874e-11 1.1975936547441006e-09 5.986629123590239e-12 0.4733559102567295
1.4815168608108554e-06 591578.1014917679 1695.425402658691 1.2418139682898004 1659.5918624860765 2.1830739210843188e-11 1.6400594342821357e-10 5.442926677652458e-10 0.4268479069709987 1.4453659984739024e-10 9.90272589129323e-12 1.3655212020857608e-08 7.405406786676409e-16 1.1681634475817126e-11 2.0108491853804042e-13 4.545245462949131e-11 1.429259818850417e-14 7.006576642670822e-10 4.895760194883199e-12 2.6235066609652824e-10 7.264910630197803e-10 2.999053162946766e-15 7.094674090403011e-10 1.1605899063857116e-08 0.09979615276891278 5.961808133341202e-11 1.3301500707018717e-09 6.695310824762105e-12 0.4733559102567295
