"X" "Pressure" "Temperature" "Density" "Velocity" "H2" "H" "O2" "O" "OH" "HO2" "H2O" "CH3" "CH4" "CO" "CO2" "CH2O" "N2" 
0.0 682803.1179421853 1499.3639298594085 1.5135261809245866 1489.7424241094432 0.0 0.0 0.22014123768662783 0.0 0.0 0.0 0.0 0.0 0.05518666598235155 0.0 0.0 0.0 0.7246720963310207
3.425824745060444e-11 682803.1179423939 1499.3639298574444 1.5135261809270177 1489.7424241099138 4.4610444312163606e-21 2.073510079504249e-16 0.22014123768623026 2.2020456323871936e-21 2.319750992700885e-21 4.1010214083734905e-13 4.7267659822310595e-27 1.8990390383021086e-13 0.055186665982148914 1.0976269255486875e-32 4.999788281991897e-45 1.0974168885491704e-22 0.7246720963310207
6.851649490115519e-11 682803.1179426025 1499.3639298554858 1.513526180929449 1489.7424241103843 1.40795238323083e-20 4.1469925330303935e-16 0.22014123768583269 6.949885786576852e-21 7.32137410736164e-21 8.202042826177213e-13 2.0382870743818112e-26 3.7980784605446343e-13 0.05518666598194628 4.7332802944249745e-32 2.7340859162087914e-44 3.4635779315295513e-22 0.7246720963310207
4.1109896940193515e-10 682803.1179446887 1499.3639298358999 1.5135261809537606 1489.7424241150898 5.643621776023612e-19 2.4879384681585764e-15 0.22014123768185692 2.785775046162669e-19 2.934661630346582e-19 4.9212257834401745e-12 6.024545495602084e-24 2.2788506487910215e-12 0.05518666597991991 1.3993895457626958e-29 6.38056722239626e-41 1.3884806642971978e-20 0.7246720963310207
7.536814438973331e-10 682803.1179467748 1499.363929816311 1.5135261809780722 1489.742424119795 1.6315243476704963e-18 4.560900815659382e-15 0.22014123767788116 8.053431999032462e-19 8.483824089027851e-19 9.022247378744571e-12 2.424870723416777e-23 4.177897299399695e-12 0.055186665977893554 5.633352515615906e-29 3.3036695492342954e-40 4.0141724061420795e-20 0.7246720963310207
1.7795066356806025e-09 682803.1179530218 1499.3639297576544 1.5135261810508707 1489.742424133885 7.687417630242037e-18 1.0766624288726322e-14 0.22014123766597612 3.7945972023036185e-18 3.997349714762849e-18 2.13023018383028e-11 2.1584781834352146e-22 9.864402986726844e-12 0.0551866659718258 5.017239018669935e-28 5.454901272762385e-39 1.8916808270564349e-19 0.7246720963310207
2.8053318274161623e-09 682803.1179592687 1499.3639296989995 1.513526181123669 1489.7424241479748 1.832313063887585e-17 1.696989459140979e-14 0.2201412376540711 9.04446667773956e-18 9.527650315977707e-18 3.3582357134482254e-11 7.231597221082994e-22 1.555094276838811e-11 0.05518666596575802 1.6816573509353356e-27 2.430635868564108e-38 4.509444045468554e-19 0.7246720963310207
3.83115701910285e-09 682803.1179655157 1499.363929640345 1.5135261811964675 1489.7424241620647 3.364860120443879e-17 2.3170652849503243e-14 0.22014123764216606 1.6609186091240515e-17 1.7496352870180423e-17 4.586241328694368e-11 1.7166678335378192e-21 2.1237517462967916e-11 0.0551866659596902 3.9937091134563754e-27 7.195004380606288e-38 8.282225466019886e-19 0.7246720963310207
6.379477732473866e-09 682803.1179810342 1499.3639294946395 1.5135261813773107 1489.742424197066 9.219271474394006e-17 3.856340344103114e-14 0.22014123761259194 4.5506376022226735e-17 4.7935881911371515e-17 7.636812277968108e-11 7.811266262743597e-21 3.536406899487458e-11 0.055186665944616554 1.8197344672151312e-26 5.542234688743188e-37 2.2700846161808447e-18 0.7246720963310207
8.927798445540542e-09 682803.1179965527 1499.3639293489307 1.5135261815581542 1489.7424242320676 1.798989979581546e-16 5.3940533791083184e-14 0.2201412375830178 8.879718455434437e-17 9.353580458077438e-17 1.068738375870194e-10 2.0781372483677218e-20 4.949083762834159e-11 0.05518666592954268 4.8467088787088645e-26 1.9564607998589107e-36 4.431239129929946e-18 0.7246720963310207
1.1476119158302718e-08 682803.1180120712 1499.3639292032208 1.5135261817389976 1489.742424267069 2.967537803963833e-16 6.930205144659406e-14 0.22014123755344361 1.4647435409284688e-16 1.5428746497946341e-16 1.3737955769956757e-10 4.3283914072775394e-20 6.361782326413423e-11 0.055186665914468566 1.0105883021582091e-25 5.0439802367034154e-36 7.312088651855036e-18 0.7246720963310207
2.4237636002104015e-08 682803.118089785 1499.3639284735384 1.513526182644628 1489.7424244423496 1.3188350082605308e-15 1.4599567924783295e-13 0.220141237405341 6.509139759095794e-16 6.855388126099862e-16 2.901466175579817e-10 4.439673343021785e-19 1.3436639631745963e-10 0.055186665838976745 1.0447832170286447e-24 1.3473823348127638e-34 3.256641402463129e-17 0.7246720963310207
3.6999152838269275e-08 682803.1181674988 1499.3639277438622 1.5135261835502594 1489.7424246176306 3.067317800821783e-15 2.2230026300675594e-13 0.22014123725723755 1.5137913402845552e-15 1.594137426371047e-15 4.4291380853444e-10 1.5029179782016622e-18 2.0512037762605435e-10 0.055186665763479144 3.555655100460527e-24 6.287062247499188e-34 7.587311644076747e-17 0.7246720963310207
4.698710388309483e-08 682803.1182283224 1499.3639271727684 1.5135261842590633 1489.7424247548165 4.940454681164604e-15 2.8175067032805913e-13 0.22014123714132205 2.4381195329152457e-15 2.5673121472991646e-15 5.624789355685716e-10 2.9815388019963046e-18 2.605005697420333e-10 0.05518666570438604 7.080885604434686e-24 1.4866730405380013e-33 1.223630569099156e-16 0.7246720963310207
5.6975054923242907e-08 682803.118289146 1499.3639266016723 1.5135261849678674 1489.7424248920024 7.254618773211938e-15 3.4096490439177127e-13 0.22014123702540603 3.579999511291967e-15 3.76937712284524e-15 6.82044141262974e-10 5.224483235731474e-18 3.1588404577213746e-10 0.05518666564528942 1.245802792739735e-23 3.0502604824264534e-33 1.799148429393679e-16 0.7246720963310207
6.69630059587135e-08 682803.1183499699 1499.3639260305827 1.5135261856766724 1489.7424250291886 1.0008040117728993e-14 3.999439270183242e-13 0.22014123690948953 4.938526405934079e-15 5.199317461490477e-15 8.01609424872058e-10 8.39418549135986e-18 3.7127079269500257e-10 0.05518666558618932 2.0099590246629375e-23 5.644195611796919e-33 2.485301942713698e-16 0.7246720963310207
8.960117937126695e-08 682803.11848783 1499.3639247361639 1.5135261872832153 1489.742425340128 1.786607532151484e-14 5.327567906736537e-13 0.22014123664675725 8.8151926312061e-15 9.278864915261472e-15 1.0726101997748126e-09 1.9817414825556964e-17 4.968195733958553e-10 0.0551866654522232 4.79138325923348e-23 1.752467503998347e-32 4.450149653283818e-16 0.7246720963310207
1.1223935275979093e-07 682803.1186256905 1499.3639234417496 1.5135261888897613 1489.7424256510678 2.7951823284005978e-14 6.643769981273262e-13 0.22014123638402236 1.3790073322541512e-14 1.4512518055343935e-14 1.3436113627873608e-09 3.864787764181828e-17 6.223849451572096e-10 0.05518666531823934 9.433933045868787e-23 4.2516713122653363e-32 6.983641641642095e-16 0.7246720963310207
1.348775261242854e-07 682803.1187635511 1499.3639221473313 1.5135261904963104 1489.7424259620084 4.024510243146996e-14 7.94815516336425e-13 0.22014123612128494 1.98528511219124e-14 2.088870770540363e-14 1.614612905407849e-09 6.673451695779655e-17 7.479667595026072e-10 0.055186665184237906 1.6444986832954267e-22 8.810889915532092e-32 1.0085976506092178e-15 0.7246720963310207
1.5751569946475031e-07 682803.118901412 1499.3639208529107 1.5135261921028627 1489.7424262729494 5.472600279140103e-14 9.24083164669178e-13 0.22014123585854495 2.6993347634471316e-14 2.8396021852405583e-14 1.8856148192487116e-09 1.0589978056453487e-16 8.735648699522496e-10 0.055186665050219054 2.6343527249895143e-22 1.6368084374931778e-31 1.375735138020639e-15 0.7246720963310207
1.9621312269383894e-07 682803.1191370707 1499.3639186402372 1.5135261948490908 1489.74242680447 8.448936089543886e-14 1.1423707845694049e-12 0.22014123540941458 4.166627530077036e-14 4.3816191038552163e-14 2.3488630919657906e-09 2.0362186006972954e-16 1.0882981056612172e-09 0.055186664821088936 5.148248189310656e-22 3.968811709819024e-31 2.135143966814945e-15 0.7246720963310207
2.349105458527127e-07 682803.1193727299 1499.3639164275596 1.5135261975953278 1489.742427335992 1.2049083309142824e-13 1.3573208712612228e-12 0.22014123496027696 5.940951150826031e-14 6.245319054100325e-14 2.812112384457765e-09 3.478007744057814e-16 1.3030778247251566e-09 0.05518666459190911 8.934534744865435e-22 8.212436386733878e-31 3.0609811217958613e-15 0.7246720963310207
2.736079689413713e-07 682803.1196083899 1499.3639142148759 1.5135262003415737 1489.7424278675157 1.6263502031103482e-13 1.568985266056541e-12 0.22014123451113232 8.017428833733036e-14 8.425236660718314e-14 3.275362656532687e-09 5.471390248029943e-16 1.5179033252548131e-09 0.05518666436268036 1.427621794266291e-21 1.5223499856026029e-30 4.153343358570454e-15 0.7246720963310207
3.1230539195981446e-07 682803.1198440506 1499.3639120021846 1.5135262030878278 1489.7424283990413 2.1082804824729804e-13 1.777414981721041e-12 0.22014123406198066 1.0391261825227762e-13 1.0915995108061206e-13 3.73861386863976e-09 8.101867813530672e-16 1.7327739165666697e-09 0.0551866641334034 2.1467012345016956e-21 2.603932592404074e-30 5.412326911191834e-15 0.7246720963310207
3.9050169093428766e-07 682803.120320255 1499.3639075309638 1.5135262086372399 1489.7424294731054 3.2629648480163044e-13 2.1889236670596405e-12 0.22014123315435438 1.6076359267267785e-13 1.6876208228174648e-13 4.674713289093773e-09 1.570421712261754e-15 2.1671000777705882e-09 0.055186663669956844 4.289271720516819e-21 6.468711613690819e-30 8.46528649614594e-15 0.7246720963310207
